DAO,Proposal,votes_voter,votes_choice,votes_vp,votes_created,proposals_title,proposal_date,usd_value,proposal_date_2,cumulative_vp,cumulative_usd_value,total_vp,total_usd_value,percentage_of_total_vp,cum_percentage_of_total_vp,cum_percentage_of_total_vp_stepped,proposal_voter_rank,total_voters,percentage_voters_counted,percentage_voters_counted_stepped
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x862A9c8d5428EB09035C3dDFb19ACb87D88d2c59,1,4328.091621453549,1649959012,Close STORM to STMX Swap Proposal,2022-04-12,74.89248393883281,2022-04-14 17:56:52,4328.091621453549,74.89248393883281,18066.756311230216,312.62375550432574,0.2395610900174281,0.2395610900174281,0.0,1,1,0.00980392156862745,1.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x190976E54Fb12fAb0E63c6fa9cb3cB4245b9D52a,2,4328.0288328496035,1650018486,Close STORM to STMX Swap Proposal,2022-04-12,74.89139745663145,2022-04-15 10:28:06,8656.120454303153,149.78388139546428,18066.756311230216,312.62375550432574,0.23955760294999265,0.479118637617144,0.0,2,2,0.0196078431372549,2.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x015cE33498Af451706aDD0d02c2ccE492F00801e,1,1011.7979107778716,1650212488,Close STORM to STMX Swap Proposal,2022-04-12,17.507960877414988,2022-04-17 16:21:28,9667.918365081025,167.29184227287925,18066.756311230216,312.62375550432574,0.056003299319296755,0.5351219369364407,1.0,3,3,0.029411764705882353,3.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0xF7C9D7c8E082382598B5e1fc8D92e25fe6cbE00e,1,897.4471413658704,1649982220,Close STORM to STMX Swap Proposal,2022-04-12,15.529256656106169,2022-04-15 00:23:40,10565.365506446895,182.8210989289854,18066.756311230216,312.62375550432574,0.0496739398221828,0.5847959321089002,1.0,4,4,0.0392156862745098,4.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0xe25459E909361263809052b07E80DCCcc4100067,3,694.7688518731803,1650134374,Close STORM to STMX Swap Proposal,2022-04-12,12.022149628763794,2022-04-16 18:39:34,11260.134358320076,194.8432485577492,18066.756311230216,312.62375550432574,0.03845565643020493,0.6232515331888284,1.0,5,5,0.049019607843137254,5.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x2E905B0436bcFb317838b6dd6f1A4B73088d78D2,1,581.8580868231224,1650057876,Close STORM to STMX Swap Proposal,2022-04-12,10.06836297228057,2022-04-15 21:24:36,11841.992445143198,204.91161153002977,18066.756311230216,312.62375550432574,0.032206001331616954,0.6554575345204454,1.0,6,6,0.058823529411764705,6.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x3C27284E0CCC5f7e772aB880C661720D0d199572,1,459.25353297579665,1649820253,Close STORM to STMX Swap Proposal,2022-04-12,7.946836816428335,2022-04-13 03:24:13,12301.245978118995,212.85844834645812,18066.756311230216,312.62375550432574,0.025419836000450995,0.6808773705208964,1.0,7,7,0.06862745098039216,7.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x62340e1ad4862E5cA5E9f48E9A0869499E964a35,1,444.304754234182,1649857446,Close STORM to STMX Swap Proposal,2022-04-12,7.6881659587546824,2022-04-13 13:44:06,12745.550732353178,220.5466143052128,18066.756311230216,312.62375550432574,0.024592404713253184,0.7054697752341496,1.0,8,8,0.0784313725490196,8.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x8d3dAD7e7941b16721EF4364c4eb1c67Dd9fF302,1,433.91051835492715,1649873077,Close STORM to STMX Swap Proposal,2022-04-12,7.508306054730262,2022-04-13 18:04:37,13179.461250708106,228.05492035994308,18066.756311230216,312.62375550432574,0.024017093936670536,0.7294868138205434,1.0,9,9,0.08823529411764706,9.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x85B92faA0F0462CD740260525065F1546E03eEA7,1,404.0977337267152,1649875284,Close STORM to STMX Swap Proposal,2022-04-12,6.992431232932844,2022-04-13 18:41:24,13583.558984434821,235.04735159287594,18066.756311230216,312.62375550432574,0.022366936135799025,0.7518537499563424,1.0,10,10,0.09803921568627451,10.0
